PRODUCT,VALUE,DATE_TIME,CELL_ON_SITE,DW_A_NUMBER_INT,DW_B_NUMBER_INT,COUNTRY_A,COUNTRY_B,CELLID,SIET_ID
Voice,61,2012-05-08 23:01:28.0,2,966f68353622feb,ffd53a3bb2db6f1,19e2e,19e2e,+38u2u/rfx,+38u2u/rfx
sms,0,2012-05-08 23:01:31.0,1,a0a597384c612d7,cf3b218f1dde792,19e2e,19e2e,+Fs4mTvdKx,+Fs4mTvdKx
Voice,10,2012-05-08 23:02:59.0,1,5441a9a58c97132,52f8b299515b9b7,19e2e,19e2e,+ZaaZozy/+,+ZaaZozy/+
sms,0,2012-05-08 23:03:04.0,0,8ab8b9ed6989f61,e09e736e46c5c3d,19e2e,19e2e,+cNeJzsTp3,+cNeJzsTp3
Voice,22,2012-05-08 23:03:16.0,4,52662a62b199334,2186273faab4602,19e2e,19e2e,/eeMklgyJA,/eeMklgyJA
Voice,10,2012-05-08 23:03:59.0,0,c572f692ed9d25f,5e6221fa6b35f62,19e2e,19e2e,+e+xcimwre,+e+xcimwre
sms,0,2012-05-08 23:06:06.0,0,32cc9a0c68cc9ee,9eb1b241c685914,19e2e,19e2e,+R5ccmtyJf,+R5ccmtyJf
Voice,10,2012-05-08 23:06:55.0,1,38c234bf93b3aac,ae0bd079dc09dd5,19e2e,19e2e,+ZaaZozy/+,+ZaaZozy/+
sms,25,2012-05-08 23:07:09.0,1,6dd0d088cceca75,9bdc6a2acd8ee15,19e2e,19e2e,13O1+JEun3,13O1+JEun3
sms,0,2012-05-08 23:07:38.0,0,9572b11240ca426,64898ae3aa9cc93,19e2e,19e2e,/eeMklgyJA,/eeMklgyJA
sms,0,2012-05-08 23:07:43.0,2,5b6f26b5d0758fe,e284afced19fcba,19e2e,19e2e,/eeMklgyJA,/eeMklgyJA
sms,0,2012-05-08 23:07:55.0,1,8ede080e807c19b,99cbdaebbf97601,19e2e,19e2e,/NPTR0H+5I,/NPTR0H+5I
sms,0,2012-05-08 23:08:15.0,1,e4c5f1c8cd08e8a,c8aec3bdc60c6b7,19e2e,19e2e,18MlD9e2CO,18MlD9e2CO
sms,0,2012-05-08 23:08:19.0,2,c818e66646d3741,5f6f78591ee8c25,19e2e,19e2e,0K+IDi1yjl,0K+IDi1yjl
sms,0,2012-05-08 23:08:24.0,2,d9143fbd9fec15e,ab53f3798c56300,19e2e,19e2e,2GgIN622rt,2GgIN622rt
sms,50,2012-05-08 23:08:49.0,0,e8499ca70ff0059,5c248c52e7b272c,19e2e,19e2e,051KhYDCpv,051KhYDCpv
Voice,14,2012-05-08 23:09:03.0,2,2e54b715c9a7b7b,93205049fc294cb,19e2e,19e2e,2aXXOLyR5M,2aXXOLyR5M
Voice,0,2012-05-08 23:09:04.0,1,3200ab4f46e8316,bd7a1e8a98a0f1b,19e2e,19e2e,/lW1z7T9L8,/lW1z7T9L8
data,0,2012-05-08 23:09:24.0,_,30c877b2339ce47,5a4dc9e82deb309,19e2e,OTHER,/EkqCbWDau,/EkqCbWDau
data,1,2012-05-08 23:09:35.0,_,934a567b28e381d,5a4dc9e82deb309,19e2e,OTHER,/0FxP3az1x,/0FxP3az1x
Voice,6,2012-05-08 23:09:40.0,0,b2638d03948d9cd,b0166164f948347,19e2e,19e2e,0eA3S0GqHt,0eA3S0GqHt
data,0,2012-05-08 23:09:43.0,_,46675d106ee0aff,5a4dc9e82deb309,19e2e,OTHER,/0LopuZdd7,/0LopuZdd7
sms,0,2012-05-08 23:09:47.0,1,f3b6ba06e9439d8,8e3705f683cfa61,19e2e,19e2e,0UFkHqX87G,0UFkHqX87G
sms,25,2012-05-08 23:09:48.0,2,711a413770e5028,fc1e25118646138,19e2e,19e2e,2q0YsSCxbH,2q0YsSCxbH
sms,0,2012-05-08 23:10:16.0,4,909bb6ebfb75709,93343ba6e41af95,19e2e,19e2e,1MTLUFpdzd,1MTLUFpdzd
Voice,0,2012-05-08 23:10:18.0,0,4541ae20049f39f,553e15a3a1cf612,19e2e,19e2e,0/eYPFomxx,0/eYPFomxx
sms,25,2012-05-08 23:10:19.0,0,a18d529f0474619,ce00ff03fd8bc42,19e2e,19e2e,++ctND+jGD,++ctND+jGD
data,1,2012-05-08 23:10:20.0,_,2b7b26c7f12113e,5a4dc9e82deb309,19e2e,OTHER,++ctND+jGD,++ctND+jGD
sms,0,2012-05-08 23:10:58.0,0,767378197ecc5e5,8fe615f72c53ec5,19e2e,19e2e,/TJNe+Mmtu,/TJNe+Mmtu
Voice,0,2012-05-08 23:11:04.0,1,096b0934058f8e8,a6b8658a978e68e,19e2e,19e2e,18iJZATMMC,18iJZATMMC
Voice,32,2012-05-08 23:11:26.0,1,77f53c39d27c050,9d064f013e2cab2,19e2e,19e2e,2ygIBia4Re,2ygIBia4Re
