;VILLES;STATUS;LOCALISATION;DECOUPZONE;ZONENAME;LONGITUDE;LATITUDE;REGION;AREA;CELL_ID;SITE_CODE
0;ADJAME;In Service;ABIDJAN;"""Abidjan_EST";AGBANNEW;-4.00066666666667;5.36819444444444;LAGUNE;;fbb2e75af3;0bb492ef17
1;ADJAME;In Service;ABIDJAN;"""Abidjan_EST";AGBANNEW;-4.00066666666667;5.36819444444444;LAGUNE;;1502501d78;0bb492ef17
2;ADJAME;In Service;ABIDJAN;"""Abidjan_EST";AGBANNEW;-4.00066666666667;5.36819444444444;LAGUNE;;0c2e182a0c;0bb492ef17
3;ASSINIE;In Service;INTERIEUR;Grand-EST;"ASSINIE""";-3.48846666666667;5.15876111111111;SUD COMOE;;69bdfc69fd;8a1e6ce31f
4;ASSINIE;In Service;INTERIEUR;Grand-EST;"ASSINIE""";-3.48846666666667;5.15876111111111;SUD COMOE;;7a1029d2ab;8a1e6ce31f
5;ASSINIE;In Service;INTERIEUR;Grand-EST;"ASSINIE""";-3.48846666666667;5.15876111111111;SUD COMOE;;0b4f56438f;8a1e6ce31f
6;KRIKOREA;In Service;INTERIEUR;Grand-OUEST;"KRIKOREA""";-6.62705555555556;6.70736111111111;HAUT SASSANDRA;;041d2504f5;260dbfedc5
7;ABOBO;In Service;ABIDJAN;"""Abidjan_NORD";NPONON;-4.02358333333333;5.43569444444444;LAGUNE;;a70c1d263b;56306cc7ca
8;ABOBO;In Service;ABIDJAN;"""Abidjan_NORD";NPONON;-4.02358333333333;5.43569444444444;LAGUNE;;e2d04ea883;56306cc7ca
9;ABOBO;;ABIDJAN;"""Abidjan_NORD";NPONON;-4.02358333333333;5.43569444444444;LAGUNE;;ee224cd27e;56306cc7ca
10;ABOBO;;ABIDJAN;"""Abidjan_NORD";NPONON;-4.02358333333333;5.43569444444444;LAGUNE;;107d0d752c;56306cc7ca
11;ABOBO;In Service;ABIDJAN;"""Abidjan_NORD";OKAHOTEL;-3.99819444444444;5.424;LAGUNE;;3f766cedc0;c1ccd3443b
12;ABOBO;In Service;ABIDJAN;"""Abidjan_NORD";OKAHOTEL;-3.99819444444444;5.424;LAGUNE;;b0578cdb7f;c1ccd3443b
13;ABOBO;In Service;ABIDJAN;"""Abidjan_NORD";OKAHOTEL;-3.99819444444444;5.424;LAGUNE;;18a4221316;c1ccd3443b
14;ABOBO;In Service;ABIDJAN;"""Abidjan_NORD";OKAHOTEL;-3.99819444444444;5.424;LAGUNE;;1b2bccad1f;c1ccd3443b
15;BINGERVILLE;In Service;ABIDJAN;"""Abidjan_EST";PALMABINGERVILLE;-3.91022222222222;5.37363888888889;LAGUNE;;60865ff87f;17899e217a
16;BINGERVILLE;In Service;ABIDJAN;"""Abidjan_EST";PALMABINGERVILLE;-3.91022222222222;5.37363888888889;LAGUNE;;c1dc258dc9;17899e217a
17;BINGERVILLE;In Service;ABIDJAN;"""Abidjan_EST";PALMABINGERVILLE;-3.91022222222222;5.37363888888889;LAGUNE;;377ee76a7e;17899e217a
18;PLATEAU;In Service;ABIDJAN;"""Abidjan_CENTRE";TIAMA;-4.01986111111111;5.32608333333333;LAGUNE;;46185e38ee;aaca2668a7
