PRODUTC,VALUE,DATETIME,CELL_ON_SITE,DW_A_NUMBER_INT,DW_B_NUMBER_INT,COUNTRY_A,COUNTRY_B,CELL_ID,SITE_ID
Voice,0,2012-05-06 23:04:37.0,1,49fae048b547780,1a49f8b0ded9de6,19e2e,19e2e,/TJNe+Mmtu,/TJNe+Mmtu
sms,0,2012-05-06 23:05:25.0,0,7a54a6eaee19e65,93343ba6e41af95,19e2e,19e2e,/+cKZKIp41,/+cKZKIp41
sms,25,2012-05-06 23:05:41.0,0,6008887b0207d82,7aacc9709ce0a20,19e2e,19e2e,/u0FSD+ahi,/u0FSD+ahi
Voice,56,2012-05-06 23:05:42.0,1,7370032e20f4e96,6af4a60e74c91d3,19e2e,19e2e,+cNeJzsTp3,+cNeJzsTp3
Voice,14,2012-05-06 23:06:29.0,1,966ba4656e38e62,02aa736ee555d5c,19e2e,19e2e,051KhYDCpv,051KhYDCpv
data,0,2012-05-06 23:07:26.0,_,f71825ca6e623f9,5a4dc9e82deb309,19e2e,OTHER,/lrUXVGVcN,/lrUXVGVcN
Voice,0,2012-05-06 23:08:02.0,1,4afd7d5af21b1ce,67bf1ac30e58e2f,19e2e,19e2e,+38u2u/rfx,+38u2u/rfx
Voice,0,2012-05-06 23:08:03.0,5,d717dee81c51389,adde5afd9a67b10,19e2e,19e2e,09UjmmY1Ds,09UjmmY1Ds
Voice,0,2012-05-06 23:08:05.0,1,44522aefdc918a6,19e68e80103885e,19e2e,19e2e,0DeimCpZOc,0DeimCpZOc
sms,0,2012-05-06 23:08:43.0,0,0763a571d24db64,f773694c00c74d2,19e2e,19e2e,01MDiY5F89,01MDiY5F89
sms,0,2012-05-06 23:08:50.0,2,93105314189e879,d79384629278326,19e2e,19e2e,0Fmr/IZtQ+,0Fmr/IZtQ+
sms,0,2012-05-06 23:09:12.0,2,a53686548a74582,d164ed0a0cf2360,19e2e,19e2e,0MZBLLzPYZ,0MZBLLzPYZ
sms,0,2012-05-06 23:09:13.0,1,9938d2d3c72399e,ff0c464449d36fb,19e2e,19e2e,0//cZOoEXj,0//cZOoEXj
sms,25,2012-05-06 23:09:16.0,1,225a414d7f66444,4ee1446e20cbc0b,19e2e,19e2e,2dmu2Iy1CX,2dmu2Iy1CX
Voice,0,2012-05-06 23:09:26.0,1,d5b3ec1778ad8c0,cc36f4260f66fee,19e2e,19e2e,0Fmr/IZtQ+,0Fmr/IZtQ+
Voice,0,2012-05-06 23:09:51.0,0,c34ef4252d76415,73e1048bfe78617,19e2e,19e2e,176sGHv7Ym,176sGHv7Ym
Voice,44,2012-05-06 23:09:54.0,2,e708c33795563f1,8f9487c2e6f468e,19e2e,19e2e,++ctND+jGD,++ctND+jGD
Voice,0,2012-05-06 23:09:59.0,2,00dcbcd23dc675c,23a453f5189cc79,19e2e,19e2e,1JODMow6DN,1JODMow6DN
sms,0,2012-05-06 23:10:05.0,0,8ab8b9ed6989f61,e09e736e46c5c3d,19e2e,19e2e,2PbwFG2K9y,2PbwFG2K9y
Voice,14,2012-05-06 23:10:23.0,1,dad978f7b8a9a09,28a6bcdc24a8b38,19e2e,19e2e,2GgIN622rt,2GgIN622rt
data,0,2012-05-06 23:10:30.0,_,057c5fb59d8f14f,5a4dc9e82deb309,19e2e,OTHER,/vLAMOS+Qm,/vLAMOS+Qm
sms,0,2012-05-06 23:10:41.0,1,c5a7d9300397229,55742f0b8e5b08d,19e2e,19e2e,2dmu2Iy1CX,2dmu2Iy1CX
