PRODUCT,VALUE,DATE_TIME,CELL_ON_SITE,DW_A_NUMBER,DW_B_NUMBER,COUNTRY_A,COUNTRY_B,CELL_ID,SITE_ID
sms,0,2012-05-07 23:02:06.0,2,32255675c3b6fe3,1aa7ae01386e9fb,19e2e,19e2e,+854AcBQT2,+854AcBQT2
Voice,0,2012-05-07 23:03:44.0,1,ff16d6ac74c1c64,87d87309c15a8c9,19e2e,19e2e,+854AcBQT2,+854AcBQT2
sms,0,2012-05-07 23:04:06.0,0,98d9f2fb5ff624b,93343ba6e41af95,19e2e,19e2e,+laSrk7g6q,+laSrk7g6q
Voice,37,2012-05-07 23:04:48.0,1,3f9c8a33ec7be1f,7d05a38f89c49d8,19e2e,19e2e,/xvRrCVKoQ,/xvRrCVKoQ
sms,25,2012-05-07 23:04:58.0,1,7bcccc03adf3864,56a5d5430d2fa86,19e2e,19e2e,+bO+qkSonO,+bO+qkSonO
sms,0,2012-05-07 23:05:41.0,4,d73f11fdc9fcb30,ec90fdb12b50cbc,19e2e,19e2e,/MMplBlWjh,/MMplBlWjh
Voice,41,2012-05-07 23:06:14.0,1,eafaf521153b405,70a60b7bca83a58,19e2e,19e2e,+laSrk7g6q,+laSrk7g6q
Voice,11,2012-05-07 23:06:28.0,0,a1799cdc5108a90,efee282793c4e56,19e2e,19e2e,+gySf02tKW,+gySf02tKW
sms,0,2012-05-07 23:06:35.0,2,f81bb99db8c0373,7af76c2046e02f3,19e2e,OTHER,/0FxP3az1x,/0FxP3az1x
sms,0,2012-05-07 23:06:50.0,0,6a7d89469dc20e9,3690c6c0444c0c0,19e2e,19e2e,0ecjmwPX21,0ecjmwPX21
sms,0,2012-05-07 23:06:58.0,0,81dff572800e83b,032780927a1a585,19e2e,19e2e,+laSrk7g6q,+laSrk7g6q
sms,0,2012-05-07 23:06:58.0,4,58ba5cac616c660,eae5d7838a2c2af,19e2e,19e2e,/MMplBlWjh,/MMplBlWjh
sms,0,2012-05-07 23:07:02.0,0,1aa429cb0ad4fff,e3bef4a57aef283,19e2e,19e2e,+YzQI97cPp,+YzQI97cPp
sms,0,2012-05-07 23:07:03.0,2,b180d01b4646ef3,ca694e0ede22e5d,19e2e,19e2e,+38u2u/rfx,+38u2u/rfx
sms,0,2012-05-07 23:07:23.0,1,53b723717713150,e09e736e46c5c3d,19e2e,19e2e,0BRdojv2my,0BRdojv2my
sms,0,2012-05-07 23:07:51.0,2,b180d01b4646ef3,d61935085e1f8eb,19e2e,19e2e,+e+xcimwre,+e+xcimwre
sms,0,2012-05-07 23:08:09.0,0,5ab4a54a9b7fec5,77e60ff7b25ba51,19e2e,19e2e,+cNeJzsTp3,+cNeJzsTp3
sms,25,2012-05-07 23:08:14.0,0,f068be3c70ed1ff,f6c86a6ab602a4e,19e2e,19e2e,+gQ2AvXjaO,+gQ2AvXjaO
Voice,0,2012-05-07 23:08:16.0,1,9dec957084f076d,19e68e80103885e,19e2e,19e2e,/0LopuZdd7,/0LopuZdd7
sms,0,2012-05-07 23:08:32.0,1,f76dbe9dfd7eaa4,d92f6918d687f52,19e2e,19e2e,0BRdojv2my,0BRdojv2my
data,0,2012-05-07 23:08:53.0,_,be670b7d317c859,5a4dc9e82deb309,19e2e,OTHER,/0FxP3az1x,/0FxP3az1x
sms,0,2012-05-07 23:09:33.0,1,ef1a358db9a72e2,43e8ef31c7490e8,19e2e,19e2e,+pZNtCvhmT,+pZNtCvhmT
Voice,0,2012-05-07 23:09:45.0,2,bb0758afdc08f2d,99fac14d328d914,19e2e,19e2e,+YzQI97cPp,+YzQI97cPp
sms,0,2012-05-07 23:09:50.0,1,8da7870ee027a39,43856ca73fbadf3,19e2e,19e2e,+854AcBQT2,+854AcBQT2
sms,0,2012-05-07 23:09:56.0,1,0108b4b998a2041,8051dc22ab2d575,19e2e,19e2e,+e+xcimwre,+e+xcimwre
Voice,0,2012-05-07 23:10:13.0,0,eece320c922fa19,f9f0526aca7ba01,19e2e,19e2e,+pZNtCvhmT,+pZNtCvhmT
sms,0,2012-05-07 23:10:36.0,0,c731afd285c9261,77707f4a0b2b068,19e2e,19e2e,2aXXOLyR5M,2aXXOLyR5M
sms,0,2012-05-07 23:10:37.0,1,a7a86b45f71c7e8,eb6a23422ba7b5b,19e2e,19e2e,0r4EVaG2A/,0r4EVaG2A/
sms,0,2012-05-07 23:11:45.0,0,d114ab1c07a5c52,1cd0cede39e2daa,19e2e,19e2e,/xvRrCVKoQ,/xvRrCVKoQ
Voice,0,2012-05-07 23:11:50.0,3,5d16e0ca3d52c0f,1ffdd0f01418825,19e2e,19e2e,1BFUFggilV,1BFUFggilV
sms,0,2012-05-07 23:12:01.0,1,b98bee6de229bfb,e1f34b3cfc5089a,19e2e,19e2e,+QZ9qRtNxA,+QZ9qRtNxA
Voice,0,2012-05-07 23:12:17.0,0,75d9bd4eb39173c,42e51b3f71f6b5a,19e2e,19e2e,0MZBLLzPYZ,0MZBLLzPYZ
sms,0,2012-05-07 23:12:38.0,0,baacc5a3c9685a4,ed72e89601a3c5a,19e2e,19e2e,2LuHm8D2MC,2LuHm8D2MC
sms,0,2012-05-07 23:12:46.0,0,ecd5f9ab26e8e4c,165ebc568822770,19e2e,19e2e,/NPTR0H+5I,/NPTR0H+5I
sms,25,2012-05-07 23:12:51.0,1,9409b6e31d0880d,e3ac0b4802d2ec2,19e2e,19e2e,2QJBu82fT3,2QJBu82fT3
Voice,90,2012-05-07 23:12:52.0,3,e36efe7f28ddfb5,b340d6edffebcb9,19e2e,19e2e,/0LopuZdd7,/0LopuZdd7
sms,0,2012-05-07 23:12:54.0,4,10f9f160aa540b2,5c3222685b56f69,19e2e,19e2e,+38u2u/rfx,+38u2u/rfx
sms,0,2012-05-07 23:12:54.0,2,540444c20aabf2e,0f7db3ad7c67566,19e2e,19e2e,08dxZmJxU8,08dxZmJxU8
Voice,0,2012-05-07 23:13:07.0,3,ede0159a99276cf,46999d5580225a9,19e2e,19e2e,+pZNtCvhmT,+pZNtCvhmT
Voice,15,2012-05-07 23:13:13.0,2,45e7b4ba064e588,3debf000671645e,19e2e,19e2e,44o98M/wq3,44o98M/wq3
sms,50,2012-05-07 23:13:18.0,0,2d667fb23e7e9ad,4c0b44efc7bb079,19e2e,19e2e,051KhYDCpv,051KhYDCpv
sms,0,2012-05-07 23:13:20.0,2,cdb870aa24f1dd6,f283ce05f961048,19e2e,19e2e,+pZNtCvhmT,+pZNtCvhmT
Voice,0,2012-05-07 23:13:22.0,4,ef9563ba4084eaa,e7a1b6757dbfed9,19e2e,19e2e,0eA3S0GqHt,0eA3S0GqHt
sms,0,2012-05-07 23:13:25.0,2,d81dd9c0c0ab0fd,0520c5dd62cbebe,19e2e,19e2e,01MDiY5F89,01MDiY5F89
Voice,138,2012-05-07 23:13:29.0,4,5ab39002420133b,f9fbfbcf042ea32,19e2e,19e2e,3jZNkFBl6Y,3jZNkFBl6Y
Voice,54,2012-05-07 23:13:34.0,1,6690c4fa57571cd,866504b8e313bb9,19e2e,19e2e,+bO+qkSonO,+bO+qkSonO
Voice,0,2012-05-07 23:13:35.0,1,ca4879db88629be,9981d1e024fa7aa,19e2e,19e2e,3K9ACMNajP,3K9ACMNajP
Voice,38,2012-05-07 23:13:37.0,0,692b109375db83e,ea8844fc383de49,19e2e,19e2e,+854AcBQT2,+854AcBQT2
Voice,0,2012-05-07 23:13:38.0,4,1e8f01c87dc5d32,19e68e80103885e,19e2e,19e2e,09UjmmY1Ds,09UjmmY1Ds
sms,0,2012-05-07 23:13:39.0,2,4f19c286761990e,3097137efb9f932,19e2e,19e2e,2dmu2Iy1CX,2dmu2Iy1CX
data,0,2012-05-07 23:13:39.0,_,74f1219fc56ef4e,5a4dc9e82deb309,19e2e,OTHER,35gi1DzgNK,35gi1DzgNK
Voice,31,2012-05-07 23:13:49.0,1,76c714655d9e94c,81c39554723e7b5,19e2e,19e2e,+Fs4mTvdKx,+Fs4mTvdKx
sms,0,2012-05-07 23:13:51.0,1,c0684982fcd633e,aaaf0e4bdec7311,19e2e,19e2e,3K9ACMNajP,3K9ACMNajP
data,0,2012-05-07 23:13:52.0,_,795c2a90bd8d442,5a4dc9e82deb309,19e2e,OTHER,0TTGQF5ChH,0TTGQF5ChH
sms,0,2012-05-07 23:13:55.0,0,562f8e17fd7c8d1,0c3172d8b047d0e,19e2e,19e2e,+e+xcimwre,+e+xcimwre
Voice,34,2012-05-07 23:14:35.0,1,78eda543d1d415a,1fef3f42ee0b8e9,19e2e,19e2e,0UFkHqX87G,0UFkHqX87G
Voice,0,2012-05-07 23:14:39.0,1,6648311aec6d11e,33a4df8f401e695,19e2e,19e2e,2aXXOLyR5M,2aXXOLyR5M
Voice,16,2012-05-07 23:14:54.0,4,18d8419f264e9b7,8fbc911979b9718,19e2e,19e2e,4nmbKTjvfr,4nmbKTjvfr
Voice,8,2012-05-07 23:14:56.0,1,efde4719c7b9bfa,f0d0c3abb8821ee,19e2e,19e2e,3WeW1UkK68,3WeW1UkK68
Voice,43,2012-05-07 23:14:57.0,0,5ae9afda204332a,7be2de6535c1060,19e2e,19e2e,/MMplBlWjh,/MMplBlWjh
data,0,2012-05-07 23:15:22.0,_,28d3ccbf9adf9cd,5a4dc9e82deb309,19e2e,OTHER,2yuhUrSXQu,2yuhUrSXQu
data,0,2012-05-07 23:15:26.0,_,b6654f08fac2d23,5a4dc9e82deb309,19e2e,OTHER,2GgIN622rt,2GgIN622rt
sms,50,2012-05-07 23:15:33.0,1,ff08ff5468dd14a,5091dcc5d23fc5d,19e2e,19e2e,54Pb8dz/52,54Pb8dz/52
data,0,2012-05-07 23:15:39.0,_,c63edf7e898c677,5a4dc9e82deb309,19e2e,OTHER,3yeW6Punpk,3yeW6Punpk
Voice,0,2012-05-07 23:15:47.0,0,998c9a30964bf59,cf38bf0e1af6429,19e2e,19e2e,+weksowKR7,+weksowKR7
sms,0,2012-05-07 23:16:15.0,2,99a9b8ed4883eb2,93343ba6e41af95,19e2e,19e2e,54Pb8dz/52,54Pb8dz/52
sms,0,2012-05-07 23:16:20.0,1,ff85bbcc92195c2,296d7be5450148e,19e2e,19e2e,01MDiY5F89,01MDiY5F89
sms,0,2012-05-07 23:16:24.0,2,f49f6d99f462648,bd2011d3313937f,19e2e,19e2e,/0FxP3az1x,/0FxP3az1x
sms,0,2012-05-07 23:16:26.0,2,0f249eb31a47afd,93343ba6e41af95,19e2e,19e2e,5w04RNltpC,5w04RNltpC
data,0,2012-05-07 23:16:28.0,_,8d350d451744537,5a4dc9e82deb309,19e2e,OTHER,0eNnL1pokg,0eNnL1pokg
Voice,0,2012-05-07 23:16:31.0,1,1b3e4296a2c7251,5e3f370a31b1d54,19e2e,19e2e,+Fs4mTvdKx,+Fs4mTvdKx
sms,0,2012-05-07 23:16:34.0,0,05d7d3b2dee4bac,1379b279cc0dc1f,19e2e,19e2e,5HIw+QO+tV,5HIw+QO+tV
Voice,194,2012-05-07 23:16:46.0,1,004fec842eb9ede,e95bab7dac207bd,19e2e,19e2e,13O1+JEun3,13O1+JEun3
sms,0,2012-05-07 23:17:02.0,1,5e0cdc886ff8d38,aaaf0e4bdec7311,19e2e,19e2e,3IoIGy1+o8,3IoIGy1+o8
Voice,35,2012-05-07 23:17:07.0,1,9014d7c98cbd67c,08a6250bde0e8af,19e2e,19e2e,3yeW6Punpk,3yeW6Punpk
Voice,18,2012-05-07 23:17:16.0,1,00e8c4828fab046,324517e90f24bcb,19e2e,19e2e,0/eYPFomxx,0/eYPFomxx
Voice,0,2012-05-07 23:17:17.0,1,098b32e50dfb4bb,70a399f0445cf39,19e2e,19e2e,0//cZOoEXj,0//cZOoEXj
Voice,24,2012-05-07 23:17:29.0,2,d5814335c341fad,228db08b8ec3426,19e2e,19e2e,3UXdSkM8V3,3UXdSkM8V3
sms,25,2012-05-07 23:17:33.0,1,302f54070546b47,d0c84fcc58e5fbc,19e2e,19e2e,1FvEkI2KCW,1FvEkI2KCW
sms,0,2012-05-07 23:17:55.0,1,049c722980f4e38,93343ba6e41af95,19e2e,19e2e,01MDiY5F89,01MDiY5F89
sms,0,2012-05-07 23:18:07.0,2,08d5b5badad4974,52860253a5fdc4e,19e2e,19e2e,/eeMklgyJA,/eeMklgyJA
sms,25,2012-05-07 23:18:10.0,1,266321cabd11297,7f560e2dec44428,19e2e,19e2e,6dZgOHeA29,6dZgOHeA29
sms,0,2012-05-07 23:18:13.0,1,d403b9cd343c140,aaaf0e4bdec7311,19e2e,19e2e,0cHtVBdVFk,0cHtVBdVFk
sms,0,2012-05-07 23:18:15.0,1,811ef2dd836671e,56ebb17c7ec378d,19e2e,19e2e,5lXcKLcxWE,5lXcKLcxWE
sms,0,2012-05-07 23:18:17.0,4,b220a95b5cd69cc,e09e736e46c5c3d,19e2e,19e2e,2GgIN622rt,2GgIN622rt
sms,0,2012-05-07 23:18:29.0,0,fb878f8a3d60130,5186a02d016aeeb,19e2e,19e2e,2JR4kUsBP5,2JR4kUsBP5
sms,0,2012-05-07 23:18:30.0,1,6d10227297efcb9,7af76c2046e02f3,19e2e,OTHER,18MlD9e2CO,18MlD9e2CO
Voice,58,2012-05-07 23:18:57.0,1,0269adbedb4e002,fe0208119fc53e6,19e2e,19e2e,/MMplBlWjh,/MMplBlWjh
sms,0,2012-05-07 23:18:59.0,0,4ff722df965b449,4e4f57ddf366d97,19e2e,19e2e,08dxZmJxU8,08dxZmJxU8
sms,0,2012-05-07 23:19:01.0,2,4d0bc4cb1e5f329,3238b64f9189c0e,19e2e,19e2e,4Qx5kxOMvS,4Qx5kxOMvS
sms,0,2012-05-07 23:19:04.0,0,a7a86b45f71c7e8,0ba6cb7d29b5fcd,19e2e,19e2e,0K+IDi1yjl,0K+IDi1yjl
sms,0,2012-05-07 23:19:16.0,0,47d8fbf06269c49,1468278579377f8,19e2e,19e2e,6I6iMT9PAR,6I6iMT9PAR
sms,0,2012-05-07 23:19:32.0,0,818837b5aad9837,aa91dfdee6b8cfa,19e2e,19e2e,3gJPHLhVkO,3gJPHLhVkO
data,0,2012-05-07 23:19:33.0,_,f2f560a939cf3d8,5a4dc9e82deb309,19e2e,OTHER,3UXdSkM8V3,3UXdSkM8V3
sms,0,2012-05-07 23:19:40.0,2,66a2889176324cc,c1f83bdcd7d9eb9,19e2e,19e2e,18iJZATMMC,18iJZATMMC
Voice,62,2012-05-07 23:19:42.0,3,3cf3236f8126d08,3cf80ad7dd91efa,19e2e,19e2e,2q0YsSCxbH,2q0YsSCxbH
Voice,0,2012-05-07 23:19:44.0,4,1e64582a6d1a52e,23fc20e100e53b6,19e2e,19e2e,/0FxP3az1x,/0FxP3az1x
sms,0,2012-05-07 23:19:54.0,1,78f2d4a83a27b31,78f697cc4c79f5e,19e2e,19e2e,6fHCwYGXt4,6fHCwYGXt4
data,1,2012-05-07 23:19:55.0,_,b01472f7f79472a,5a4dc9e82deb309,19e2e,OTHER,5lXcKLcxWE,5lXcKLcxWE
Voice,0,2012-05-07 23:20:10.0,5,6ff2067611a71db,789e9ad29517f9f,19e2e,19e2e,18iJZATMMC,18iJZATMMC
Voice,0,2012-05-07 23:20:16.0,0,838466f8308efee,55ad144fa74fddc,19e2e,19e2e,+gQ2AvXjaO,+gQ2AvXjaO
Voice,121,2012-05-07 23:20:17.0,0,8dbf216cc98b78d,802675b5b6f582a,19e2e,19e2e,051KhYDCpv,051KhYDCpv
sms,0,2012-05-07 23:20:21.0,0,596031083ef45de,353453f72452aa8,19e2e,19e2e,/0FxP3az1x,/0FxP3az1x
Voice,0,2012-05-07 23:20:21.0,2,0b0e2aa91a403b7,0928c0b3a7c7647,19e2e,19e2e,4R4MmPUDw/,4R4MmPUDw/
Voice,0,2012-05-07 23:20:23.0,4,dd12a35041aba42,70453af454fc895,19e2e,19e2e,0MZBLLzPYZ,0MZBLLzPYZ
Voice,200,2012-05-07 23:20:28.0,4,7e050a4af7bef67,81f01982d72b4fe,19e2e,19e2e,4hqZ6VS+Pe,4hqZ6VS+Pe
sms,0,2012-05-07 23:20:39.0,2,a42bd7778bcabe0,7f7c67cc26715fe,19e2e,19e2e,+QZ9qRtNxA,+QZ9qRtNxA
Voice,84,2012-05-07 23:20:48.0,1,1074b6fe21fb6cd,d30cf50511d3d17,19e2e,19e2e,88A1uJBVDS,88A1uJBVDS
sms,25,2012-05-07 23:20:48.0,2,085c57c3a889eb3,54955db5386b36e,19e2e,19e2e,8JgRZeFDVZ,8JgRZeFDVZ
sms,25,2012-05-07 23:20:49.0,0,949729270431d22,7327d0f2a15abda,19e2e,19e2e,6X4+hML4kB,6X4+hML4kB
sms,0,2012-05-07 23:20:51.0,0,d72866025fa5a77,6fe1a784bf723d4,19e2e,19e2e,/u0FSD+ahi,/u0FSD+ahi
sms,25,2012-05-07 23:20:52.0,2,374cf21b38b5bfa,b3d128607985a02,19e2e,19e2e,+pZNtCvhmT,+pZNtCvhmT
Voice,0,2012-05-07 23:21:00.0,2,49fc967e3f35063,78a6155b3b07a23,19e2e,19e2e,2ygIBia4Re,2ygIBia4Re
Voice,84,2012-05-07 23:21:08.0,2,35c4f1bedf41fef,d1a4008848f8fbf,19e2e,19e2e,13HRN5dKgY,13HRN5dKgY
Voice,0,2012-05-07 23:21:18.0,3,2b8888eb1b84594,5542b5321560b7b,19e2e,19e2e,3WeW1UkK68,3WeW1UkK68
Voice,8,2012-05-07 23:21:28.0,3,b03f9d6bd3b1689,7cd62fb45b033ba,19e2e,19e2e,5bFHC1hRn8,5bFHC1hRn8
sms,0,2012-05-07 23:21:33.0,0,9b5e0a41eed127f,436243d0a66f467,19e2e,19e2e,+YzQI97cPp,+YzQI97cPp
Voice,14,2012-05-07 23:21:35.0,3,f6ad5190be5784b,ed353ffcfb684ea,19e2e,19e2e,3mQAiRAfo7,3mQAiRAfo7
sms,25,2012-05-07 23:21:38.0,2,e11a471411d6820,fa5b7fea4bcc9ab,19e2e,19e2e,3jZNkFBl6Y,3jZNkFBl6Y
sms,0,2012-05-07 23:21:39.0,2,1f151dd49c43fee,27833c3715fa3ed,19e2e,19e2e,7OeLONGBwT,7OeLONGBwT
Voice,200,2012-05-07 23:21:45.0,4,54030252a54f3e0,79c9acd2c6ce7cb,19e2e,19e2e,9/CstAxGD8,9/CstAxGD8
Voice,0,2012-05-07 23:21:51.0,3,acc599ebd1ec419,1a49f8b0ded9de6,19e2e,19e2e,/MMplBlWjh,/MMplBlWjh
sms,0,2012-05-07 23:21:58.0,4,1f664ac552f4152,310afff19fc63cf,19e2e,19e2e,13O1+JEun3,13O1+JEun3
sms,0,2012-05-07 23:22:11.0,5,1d9ad235df4c120,b69f0d11e278589,19e2e,19e2e,1FvEkI2KCW,1FvEkI2KCW
data,0,2012-05-07 23:22:12.0,_,fc525707f6d3c67,5a4dc9e82deb309,19e2e,OTHER,4Qx5kxOMvS,4Qx5kxOMvS
sms,0,2012-05-07 23:22:15.0,2,9945a33c29a9f55,542972315975b49,19e2e,19e2e,3UXdSkM8V3,3UXdSkM8V3
sms,0,2012-05-07 23:22:19.0,1,8da7870ee027a39,45114c6c5d79f2d,19e2e,19e2e,5IfBEq1g5D,5IfBEq1g5D
Voice,14,2012-05-07 23:22:20.0,1,8bea22c8c7fb85c,788a6320079df26,19e2e,19e2e,4oRa9YwYR4,4oRa9YwYR4
sms,0,2012-05-07 23:22:20.0,2,2face00a60d394b,c1a654074e81cfa,19e2e,19e2e,5GsUmPuoet,5GsUmPuoet
data,0,2012-05-07 23:22:22.0,_,376704015dacaf9,5a4dc9e82deb309,19e2e,OTHER,7nMMXP2kCj,7nMMXP2kCj
sms,0,2012-05-07 23:22:30.0,4,a950acf821d6928,93343ba6e41af95,19e2e,19e2e,8X69F2OHjn,8X69F2OHjn
sms,0,2012-05-07 23:22:31.0,2,b180d01b4646ef3,b677aa5de91c469,19e2e,19e2e,4oRa9YwYR4,4oRa9YwYR4
sms,50,2012-05-07 23:22:41.0,2,e0ca3a116a9e1a3,f0cc06c61dc976c,19e2e,19e2e,7OHAroPjiI,7OHAroPjiI
sms,0,2012-05-07 23:22:42.0,0,7749f3c0b64b41c,46a184092591c49,19e2e,19e2e,6N2tX92Rn0,6N2tX92Rn0
data,0,2012-05-07 23:22:45.0,_,c06dcc1f7bd4409,5a4dc9e82deb309,19e2e,OTHER,60rBK3VnF7,60rBK3VnF7
sms,0,2012-05-07 23:22:53.0,2,2d65071556acba1,aaaf0e4bdec7311,19e2e,19e2e,0nabagle1r,0nabagle1r
sms,0,2012-05-07 23:22:54.0,2,1457b8d494c5c90,e8feca50cc82cff,19e2e,19e2e,2vqM21lFHK,2vqM21lFHK
sms,0,2012-05-07 23:22:55.0,2,40083577d03bfc4,7af76c2046e02f3,19e2e,OTHER,+gQ2AvXjaO,+gQ2AvXjaO
Voice,231,2012-05-07 23:23:00.0,0,987d5ab2d230b22,e5c9135ed300551,19e2e,19e2e,6sY4KEpEo1,6sY4KEpEo1
sms,0,2012-05-07 23:23:04.0,1,ad296530de5501c,a16d91f44bb8bd2,19e2e,19e2e,+ZaaZozy/+,+ZaaZozy/+
sms,0,2012-05-07 23:23:19.0,1,f73cbb10be9f3ca,4a2056e4aac7648,19e2e,19e2e,301gn/BrU5,301gn/BrU5
sms,0,2012-05-07 23:23:41.0,1,09e271515747c7b,aaaf0e4bdec7311,19e2e,19e2e,0nabagle1r,0nabagle1r
sms,0,2012-05-07 23:23:45.0,1,78f2d4a83a27b31,c82a36959f2ac89,19e2e,19e2e,5IfBEq1g5D,5IfBEq1g5D
data,0,2012-05-07 23:23:58.0,_,e120867ee3b9f66,5a4dc9e82deb309,19e2e,OTHER,/xvRrCVKoQ,/xvRrCVKoQ
Voice,0,2012-05-07 23:24:07.0,1,4597cf23831d225,debd27f458236fa,19e2e,19e2e,1JODMow6DN,1JODMow6DN
data,0,2012-05-07 23:24:29.0,_,eb10da1cdacd07c,5a4dc9e82deb309,19e2e,OTHER,3u865XIo6c,3u865XIo6c
Voice,0,2012-05-07 23:24:29.0,2,af1eaec2a6bcaec,cabfaef904dcb14,19e2e,19e2e,8X69F2OHjn,8X69F2OHjn
data,0,2012-05-07 23:24:30.0,_,53fa5f47eaeb347,5a4dc9e82deb309,19e2e,OTHER,94RlkdIJPc,94RlkdIJPc
data,0,2012-05-07 23:24:33.0,_,ad475455c510475,5a4dc9e82deb309,19e2e,OTHER,0cHtVBdVFk,0cHtVBdVFk
sms,0,2012-05-07 23:24:33.0,4,444da5f3bc97ddd,8832b16bf93c9be,19e2e,19e2e,AJ5dgXjb+X,AJ5dgXjb+X
